institution_id,institution_display_name,institution_type,institution_country_code,simplified_institution_category,target_firm_label
I15766117,University of Graz,education,AT,education,Other
I138925566,Ewha Womans University,education,KR,education,Other
I86695891,Australian Catholic University,education,AU,education,Other
I179225836,University of Augsburg,education,DE,education,Other
I4210116486,Western Health,healthcare,AU,healthcare,Other
I6289922,Universidade de Vigo,education,ES,education,Other
I66752286,University of Milano-Bicocca,education,IT,education,Other
I4210097587,Oaks Hospital,healthcare,GB,healthcare,Other
I38877650,Zhengzhou University,education,CN,education,Other
I154338468,University of Fribourg,education,CH,education,Other
I62318514,University of Duisburg-Essen,education,DE,education,Other
I2972652528,FHNW University of Applied Sciences and Arts Northwestern Switzerland,education,CH,education,Other
I4210121775,FORTH Institute of Computer Science,facility,GR,research_institute,Other
I99682543,University of Minho,education,PT,education,Other
I4210093964,Peking University Cancer Hospital,healthcare,CN,healthcare,Other
I198357462,Changsha University,education,CN,education,Other
I4210133846,Peking University International Hospital,healthcare,CN,healthcare,Other
I83467386,IT University of Copenhagen,education,DK,education,Other
I139025015,Pioneer (United States),company,US,company,Other
I129672417,Namseoul University,education,KR,education,Other
I4210114577,Korea Food Research Institute,facility,KR,research_institute,Other
I34002243,Mae Fah Luang University,education,TH,education,Other
I4210096498,Presbyterian Hospital,healthcare,US,healthcare,Other
I207014233,Kyushu Institute of Technology,education,JP,education,Other
I94588446,Hongik University,education,KR,education,Other
I4210132741,Shanghai Tenth People's Hospital,healthcare,CN,healthcare,Other
I4210140357,Renmin Hospital of Wuhan University,healthcare,CN,healthcare,Other
I87653560,VTT Technical Research Centre of Finland,nonprofit,FI,nonprofit,Other
I55712492,Zhejiang University of Technology,education,CN,education,Other
I4210144367,Zhejiang Pharmaceutical College,education,CN,education,Other
I12411659,Tianjin University of Traditional Chinese Medicine,education,CN,education,Other
I4210114506,Ministry of Education,government,KR,government,Other
I2801845744,Toronto General Hospital,healthcare,CA,healthcare,Other
I204205638,Austral University,education,AR,education,Other
I193531525,George Washington University,education,US,education,Other
I142732210,University of Engineering and Technology Lahore,education,PK,education,Other
I114017466,University of Technology Sydney,education,AU,education,Other
I4210101388,Health Sciences and Nutrition,facility,AU,research_institute,Other
I134085113,King Fahd University of Petroleum and Minerals,education,SA,education,Other
I39470171,Ontario Tech University,education,CA,education,Other
I4210092402,Department of the Premier and Cabinet,government,AU,government,Other
I200166805,Guy's and St Thomas' NHS Foundation Trust,healthcare,GB,healthcare,Other
I129801699,University of Tasmania,education,AU,education,Other
I1925986,Loyola University Chicago,education,US,education,Other
I152650591,University of Cauca,education,CO,education,Other
I3018483916,University Medical Center Utrecht,healthcare,NL,healthcare,Other
I4210116895,Art Innovation (Netherlands),company,NL,company,Other
I12615008,Beijing Normal-Hong Kong Baptist University,education,CN,education,Other
I161106909,Iran University of Medical Sciences,education,IR,education,Other
I4210157063,Shaheed Rajaei Cardiovascular Medical and Research Center,healthcare,IR,healthcare,Other
I2800006345,Leiden University Medical Center,funder,NL,unknown,Other
I2802220196,Sir Charles Gairdner Hospital,healthcare,AU,healthcare,Other
I4210102282,Universidad de Las Américas,education,EC,education,Other
I2802039673,California Miramar University,education,US,education,Other
I121748325,Universidad Complutense de Madrid,education,ES,education,Other
I4210097846,Instituto de Investigación Sanitaria del Hospital Clínico San Carlos,healthcare,ES,healthcare,Other
I4210104108,Papageorgiou General Hospital,healthcare,GR,healthcare,Other
I94658018,University of Memphis,education,US,education,Other
I4210086933,NYU Langone Health,healthcare,US,healthcare,Other
I16076960,COMSATS University Islamabad,education,PK,education,Other
I195024194,Riphah International University,education,PK,education,Other
I142208455,VSB - Technical University of Ostrava,education,CZ,education,Other
